# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "7" "-s" "2" "-p" "-a" "data/Homo_sapiens.GRCh38.111.gtf" "-o" "counts/featureCounts.txt" "alignment/SRR28420795.sorted.bam" "alignment/SRR28420796.sorted.bam" "alignment/SRR28420797.sorted.bam" "alignment/SRR28420798.sorted.bam" 
Geneid	alignment/SRR28420795.sorted.bam	alignment/SRR28420796.sorted.bam	alignment/SRR28420797.sorted.bam	alignment/SRR28420798.sorted.bam
ENSG00000116544	53	51	6	0
ENSG00000231900	0	0	0	0
ENSG00000236723	13	17	13	18
ENSG00000232467	0	0	0	0
ENSG00000117016	343	399	124	137
ENSG00000169213	1507	1346	20	41
ENSG00000163866	898	947	1069	1119
ENSG00000237130	0	0	0	0
ENSG00000232335	4	1	1	4
ENSG00000260971	3	18	1	2
ENSG00000284696	0	0	0	0
ENSG00000238242	0	0	0	0
ENSG00000285839	0	0	0	0
ENSG00000232762	0	0	0	0
ENSG00000162384	765	699	1000	860
ENSG00000162391	0	0	0	0
ENSG00000117859	2229	2070	2765	3037
ENSG00000228121	0	0	0	0
ENSG00000253313	0	0	4	0
ENSG00000162396	370	315	363	301
ENSG00000284686	0	2	0	2
ENSG00000162378	1389	1290	1282	1364
ENSG00000233079	0	0	0	0
ENSG00000259818	0	0	0	0
ENSG00000229444	0	0	0	0
ENSG00000240563	0	0	0	0
ENSG00000234318	0	0	0	0
ENSG00000284773	11	21	10	17
ENSG00000234481	0	0	0	0
ENSG00000117862	317	390	144	169
ENSG00000235612	0	0	0	0
ENSG00000228369	0	0	0	0
ENSG00000227485	0	0	0	0
ENSG00000224609	37	28	20	35
ENSG00000235545	2	2	0	0
ENSG00000236646	0	0	0	0
ENSG00000232198	0	0	0	0
ENSG00000238063	0	0	0	0
ENSG00000227104	0	0	0	0
ENSG00000243725	37	28	36	23
ENSG00000171872	11	31	45	29
ENSG00000162407	1818	2414	1056	1199
ENSG00000285079	0	0	0	0
ENSG00000163877	770	762	875	883
ENSG00000228929	18	17	27	19
ENSG00000224570	0	0	0	0
ENSG00000224980	0	0	0	0
ENSG00000278967	0	0	0	0
ENSG00000157184	841	768	576	507
ENSG00000198815	2980	2894	2095	2379
ENSG00000134744	2336	2309	1870	2135
ENSG00000233910	0	0	0	0
ENSG00000287703	0	0	0	0
ENSG00000283039	2	0	0	0
ENSG00000229032	0	0	0	0
ENSG00000229294	0	0	0	0
ENSG00000234088	0	0	0	0
ENSG00000236973	0	0	0	0
ENSG00000277397	0	0	0	0
ENSG00000235446	0	0	0	0
ENSG00000162385	853	853	767	760
ENSG00000234264	13	6	0	4
ENSG00000223883	0	0	0	0
ENSG00000237227	0	0	0	0
ENSG00000275350	0	0	0	0
ENSG00000116652	18	60	3	4
ENSG00000123080	1728	2869	1122	1840
ENSG00000285778	0	0	0	0
ENSG00000233407	0	0	0	0
ENSG00000225675	1	0	2	0
ENSG00000237622	0	0	0	0
ENSG00000162598	0	0	0	0
ENSG00000280317	0	0	0	0
ENSG00000162415	24	20	56	92
ENSG00000162600	352	326	286	235
ENSG00000116704	468	449	647	747
ENSG00000157193	1789	1358	1720	1963
ENSG00000116205	559	542	394	447
ENSG00000198841	122	98	68	71
ENSG00000234204	0	0	0	0
ENSG00000233099	0	0	0	0
ENSG00000233994	2	3	2	0
ENSG00000233973	0	0	0	0
ENSG00000132854	0	2	0	0
ENSG00000227556	0	0	0	0
ENSG00000162607	5735	5714	3050	4031
ENSG00000285954	0	0	0	0
ENSG00000233333	0	0	0	0
ENSG00000154027	262	339	50	61
ENSG00000234108	0	0	0	0
ENSG00000232676	0	0	0	0
ENSG00000225167	0	0	0	0
ENSG00000213579	0	0	0	0
ENSG00000137960	6	2	2	6
ENSG00000237852	0	0	0	0
ENSG00000116745	0	0	0	0
ENSG00000132855	0	0	2	0
ENSG00000285407	2	0	6	7
ENSG00000270549	0	0	0	0
ENSG00000237163	0	0	0	0
ENSG00000229636	0	0	0	0
ENSG00000116675	310	266	482	755
ENSG00000162433	2089	3078	3131	5017
ENSG00000213625	1489	1526	1718	1736
ENSG00000227207	0	0	0	0
ENSG00000227016	0	0	0	0
ENSG00000233664	0	0	0	0
ENSG00000158966	226	264	223	209
ENSG00000213703	0	1	0	0
ENSG00000203965	264	271	173	158
ENSG00000223479	0	0	0	0
ENSG00000233674	0	0	0	0
ENSG00000153898	63	61	89	102
ENSG00000117069	110	139	26	24
ENSG00000125703	453	404	422	434
ENSG00000285041	0	2	3	0
ENSG00000285808	0	0	0	0
ENSG00000229440	1	0	0	0
ENSG00000234144	0	0	0	0
ENSG00000277670	0	0	0	0
ENSG00000227466	0	0	0	0
ENSG00000230498	9	0	0	0
ENSG00000285782	0	0	0	0
ENSG00000162618	14	17	0	0
ENSG00000224493	0	0	0	0
ENSG00000131233	0	0	0	0
ENSG00000272371	0	0	1	0
ENSG00000287647	0	0	0	4
ENSG00000229225	0	0	0	0
ENSG00000225598	0	0	0	0
ENSG00000286455	0	0	0	0
ENSG00000225087	0	0	2	2
ENSG00000230053	0	0	0	0
ENSG00000137941	390	398	478	523
ENSG00000224326	0	0	0	0
ENSG00000286548	2	0	0	0
ENSG00000066135	1488	1356	738	724
ENSG00000272094	0	0	15	9
ENSG00000228853	0	0	0	0
ENSG00000232453	18	2	31	16
ENSG00000284895	0	0	0	0
ENSG00000117174	2615	2443	1584	1782
ENSG00000237413	0	10	0	0
ENSG00000184313	0	0	0	0
ENSG00000284645	0	0	0	0
ENSG00000225446	2	0	1	0
ENSG00000288543	6	7	0	0
ENSG00000122420	675	1182	54	65
ENSG00000284240	2	0	0	0
ENSG00000236290	0	0	0	0
ENSG00000143013	4335	4580	1113	983
ENSG00000226084	328	274	266	300
ENSG00000134748	1552	1509	1449	1675
ENSG00000142892	2345	2759	1302	1628
ENSG00000287743	0	4	0	0
ENSG00000229332	0	0	0	0
ENSG00000227937	0	0	0	0
ENSG00000229752	0	0	0	0
ENSG00000237505	80	69	2	0
ENSG00000285462	0	0	0	0
ENSG00000233216	0	0	0	0
ENSG00000197273	0	0	0	0
ENSG00000226804	0	0	0	0
ENSG00000230728	0	0	0	0
ENSG00000232846	0	0	0	0
ENSG00000230787	0	0	1	0
ENSG00000116641	2945	3156	2794	3166
ENSG00000237453	0	0	0	0
ENSG00000172260	104	35	592	497
ENSG00000285473	0	0	0	2
ENSG00000237959	0	0	0	0
ENSG00000231364	0	0	0	0
ENSG00000234578	0	0	0	0
ENSG00000137944	809	756	1047	945
ENSG00000229505	0	0	0	0
ENSG00000228187	0	0	0	0
ENSG00000182183	0	0	0	0
ENSG00000236407	0	0	0	0
ENSG00000271949	0	0	0	0
ENSG00000227062	0	0	0	0
ENSG00000067334	2670	2610	3316	3669
ENSG00000235011	0	0	0	0
ENSG00000226938	0	0	0	0
ENSG00000213559	0	0	0	0
ENSG00000287587	1	0	0	6
ENSG00000142949	8083	8737	20955	20881
ENSG00000116133	1748	2472	3609	6097
ENSG00000232882	37	40	43	48
ENSG00000171502	10	27	10	18
ENSG00000116157	60	47	47	62
ENSG00000143036	35	61	39	31
ENSG00000230817	0	0	0	0
ENSG00000065243	2326	2578	2339	3054
ENSG00000226759	0	0	0	0
ENSG00000226960	0	0	0	0
ENSG00000234080	0	0	0	0
ENSG00000237899	1	0	0	1
ENSG00000227290	0	0	0	0
ENSG00000282898	0	0	0	0
ENSG00000285409	0	0	0	0
ENSG00000231090	0	0	8	4
ENSG00000117528	1555	1795	2194	2576
ENSG00000271723	0	0	0	0
ENSG00000172339	124	189	155	202
ENSG00000036549	2987	3003	2044	2394
ENSG00000287724	0	0	0	0
ENSG00000225191	0	0	0	0
ENSG00000287870	4	1	0	0
ENSG00000232048	0	0	0	0
ENSG00000232857	0	0	0	0
ENSG00000273637	0	0	0	0
ENSG00000228838	0	0	0	0
ENSG00000283761	3	2	2	3
ENSG00000189433	0	0	0	0
ENSG00000230759	0	0	0	0
ENSG00000179178	2	4	0	4
ENSG00000142700	33	28	0	0
ENSG00000285525	4	2	0	2
ENSG00000236098	5	1	47	43
ENSG00000233514	0	0	1	2
ENSG00000127124	342	464	1794	2656
ENSG00000266993	0	7	3	11
ENSG00000223675	0	0	0	0
ENSG00000229316	0	0	0	0
ENSG00000287406	0	0	4	4
ENSG00000225767	0	0	0	0
ENSG00000234099	0	0	0	0
ENSG00000137936	7711	6972	5855	7055
ENSG00000235308	0	0	0	0
ENSG00000232752	0	0	0	0
ENSG00000235829	0	0	0	0
ENSG00000143032	0	3	0	0
ENSG00000226745	0	0	0	0
ENSG00000280040	0	2	4	6
ENSG00000117519	4324	6176	9479	12644
ENSG00000270507	0	0	0	0
ENSG00000238037	0	0	0	0
ENSG00000134215	229	451	1	0
ENSG00000227935	0	0	0	0
ENSG00000228502	89	107	94	110
ENSG00000236268	0	0	0	0
ENSG00000271277	0	0	0	0
ENSG00000236888	0	0	0	0
ENSG00000279778	0	0	0	0
ENSG00000230828	0	0	0	0
ENSG00000188641	1964	2499	2064	2641
ENSG00000152078	1053	991	309	399
ENSG00000233359	0	0	0	0
ENSG00000237954	0	0	0	0
ENSG00000171492	1804	1579	921	1040
ENSG00000233129	0	0	0	0
ENSG00000170989	177	139	60	160
ENSG00000233557	0	0	0	0
ENSG00000237897	0	0	0	0
ENSG00000116299	1	3	39	61
ENSG00000137962	2027	2296	11015	16699
ENSG00000286692	0	0	0	0
ENSG00000260464	50	48	0	14
ENSG00000237435	0	0	0	0
ENSG00000231996	0	0	0	0
ENSG00000273204	4	6	8	6
ENSG00000079739	2726	3180	5224	5458
ENSG00000117154	0	2	0	0
ENSG00000162377	1959	1780	956	1179
ENSG00000224613	0	0	0	0
ENSG00000215871	0	2	0	0
ENSG00000287372	0	0	0	0
ENSG00000232542	0	0	0	0
ENSG00000116774	2	4	22	30
ENSG00000287756	0	0	0	0
ENSG00000284652	3	2	4	4
ENSG00000023909	1578	1296	1670	1502
ENSG00000069702	519	800	338	533
ENSG00000232185	0	0	0	0
ENSG00000228399	0	0	0	0
ENSG00000236776	0	0	0	0
ENSG00000224685	0	0	0	0
ENSG00000287076	0	0	0	0
ENSG00000237480	0	0	0	0
ENSG00000271252	0	0	0	0
ENSG00000230427	0	0	0	0
ENSG00000235794	0	0	0	0
ENSG00000286758	0	0	0	0
ENSG00000237337	0	0	0	0
ENSG00000233983	0	0	0	0
ENSG00000198198	3358	2826	1520	1590
ENSG00000230402	0	0	0	3
ENSG00000116793	794	811	1290	1201
ENSG00000232918	0	0	0	0
ENSG00000183298	71	56	48	56
ENSG00000234332	6	4	0	0
ENSG00000117525	7	5	11852	11481
ENSG00000225079	0	0	0	0
ENSG00000224238	0	0	0	0
ENSG00000229537	0	0	0	0
ENSG00000162699	0	0	0	0
ENSG00000162692	4	3	811	1158
ENSG00000203914	0	0	0	6
ENSG00000270457	2	2	0	1
ENSG00000203858	0	0	0	0
ENSG00000231987	0	0	13	14
ENSG00000228057	3	8	4	5
ENSG00000224445	0	0	0	0
ENSG00000229842	0	0	0	0
ENSG00000270631	0	0	0	0
ENSG00000229201	0	0	0	0
ENSG00000181656	2	0	0	0
ENSG00000122481	100	97	73	68
ENSG00000198162	1383	1546	1706	1951
ENSG00000238198	12	1	1	0
ENSG00000171517	29	36	0	6
ENSG00000228852	0	0	0	0
ENSG00000203864	0	0	0	0
ENSG00000233482	0	0	0	0
ENSG00000230250	0	0	0	0
ENSG00000232878	0	0	0	0
ENSG00000143079	1367	1535	1529	1582
ENSG00000232450	18	8	41	46
ENSG00000223575	0	0	0	0
ENSG00000230768	0	0	0	0
ENSG00000235202	0	0	0	0
ENSG00000272715	1	2	0	0
ENSG00000235038	0	0	0	0
ENSG00000173947	39	77	0	7
ENSG00000230434	0	0	0	0
ENSG00000230718	0	0	0	0
ENSG00000134198	18	15	24	47
ENSG00000235595	0	0	0	0
ENSG00000226053	22	21	14	45
ENSG00000226128	0	0	0	0
ENSG00000198799	728	714	848	942
ENSG00000279513	2	5	0	2
ENSG00000117620	468	485	782	838
ENSG00000223906	0	0	0	0
ENSG00000162688	486	515	732	1000
ENSG00000197106	19	3	2	0
ENSG00000259946	23	19	0	0
ENSG00000236137	2	2	6	2
ENSG00000203859	0	3	0	0
ENSG00000228086	0	0	0	0
ENSG00000213421	0	0	0	0
ENSG00000234020	0	0	0	0
ENSG00000236804	0	0	0	0
ENSG00000231072	0	0	0	0
ENSG00000273406	0	0	0	0
ENSG00000185946	341	419	315	452
ENSG00000162627	1660	1641	1426	1545
ENSG00000226715	0	0	0	0
ENSG00000162695	1070	987	1385	1375
ENSG00000265808	2683	2365	3648	3820
ENSG00000225923	0	0	0	0
ENSG00000134247	389	448	77	80
ENSG00000187481	0	0	0	0
ENSG00000162664	1358	1513	935	1256
ENSG00000236866	0	0	0	0
ENSG00000134253	269	249	150	229
ENSG00000223416	0	0	0	2
ENSG00000179571	0	0	0	0
ENSG00000227850	0	4	0	4
ENSG00000235777	0	0	0	0
ENSG00000285532	0	0	0	0
ENSG00000226755	1	2	0	0
ENSG00000232650	0	0	0	0
ENSG00000183508	34	34	1252	1401
ENSG00000277095	0	0	0	0
ENSG00000234283	3	0	0	0
ENSG00000274927	0	0	0	0
ENSG00000264145	0	0	0	0
ENSG00000238256	0	0	0	0
ENSG00000198765	0	0	0	0
ENSG00000224335	0	0	0	0
ENSG00000277702	0	0	2	3
ENSG00000143398	4192	3703	2711	3134
ENSG00000196505	614	554	622	620
ENSG00000223489	0	0	0	0
ENSG00000230546	0	0	0	0
ENSG00000213262	0	0	0	0
ENSG00000287015	0	0	0	0
ENSG00000235526	0	0	0	0
ENSG00000228347	0	0	0	0
ENSG00000236012	0	0	0	0
ENSG00000270911	0	0	0	0
ENSG00000134200	0	0	0	0
ENSG00000065183	3111	3084	2269	2469
ENSG00000227082	8	5	29	43
ENSG00000226126	0	0	0	0
ENSG00000163393	18	7	158	156
ENSG00000163156	626	687	710	710
ENSG00000143631	0	0	2278	2449
ENSG00000228453	0	0	0	0
ENSG00000274642	8	3	0	0
ENSG00000237975	66	50	156	209
ENSG00000261168	0	0	4	4
ENSG00000287980	0	0	0	0
ENSG00000229283	0	0	0	0
ENSG00000226172	0	0	0	2
ENSG00000079335	89	111	290	318
ENSG00000143119	0	0	0	0
ENSG00000237278	0	0	0	0
ENSG00000233432	0	0	0	0
ENSG00000227700	0	0	0	0
ENSG00000229911	0	0	0	0
ENSG00000143520	0	0	0	0
ENSG00000171943	473	462	793	838
ENSG00000270719	0	0	0	0
ENSG00000155761	0	2	7	3
ENSG00000230806	0	0	0	0
ENSG00000116830	2076	1976	916	1325
ENSG00000234422	0	0	0	0
ENSG00000227056	0	0	0	0
ENSG00000227091	0	0	0	0
ENSG00000081026	645	709	661	817
ENSG00000224965	0	0	5	2
ENSG00000228127	0	0	0	0
ENSG00000143458	473	577	356	398
ENSG00000230932	0	0	0	0
ENSG00000073754	0	0	2	0
ENSG00000228826	1	0	0	0
ENSG00000233907	0	0	0	0
ENSG00000225036	0	0	0	0
ENSG00000228420	0	2	0	2
ENSG00000233839	0	0	0	0
ENSG00000250890	0	0	0	0
ENSG00000232240	0	0	0	0
ENSG00000230921	1	0	0	0
ENSG00000286151	0	0	0	0
ENSG00000234388	0	0	0	0
ENSG00000271736	0	0	0	0
ENSG00000233717	0	0	0	0
ENSG00000163155	418	335	160	152
ENSG00000241975	8	5	5	8
ENSG00000271143	0	0	0	0
ENSG00000270976	0	0	0	0
ENSG00000228217	1	1	4	2
ENSG00000270342	0	0	0	0
ENSG00000231100	0	0	0	0
ENSG00000116824	0	0	0	0
ENSG00000235887	0	0	0	0
ENSG00000237460	0	0	0	0
ENSG00000236887	0	0	0	0
ENSG00000024526	2643	2526	1912	2764
ENSG00000235756	0	0	0	0
ENSG00000173810	0	0	0	0
ENSG00000235005	0	2	0	0
ENSG00000271890	0	0	0	0
ENSG00000227425	0	0	0	0
ENSG00000225279	0	3	0	0
ENSG00000229101	0	0	0	0
ENSG00000239216	0	0	0	0
ENSG00000283360	0	0	0	4
ENSG00000117262	366	299	293	327
ENSG00000227907	0	0	0	0
ENSG00000227970	0	0	0	0
ENSG00000261055	0	0	6	0
ENSG00000231613	0	0	0	1
ENSG00000137947	711	691	991	958
ENSG00000236689	0	0	0	0
ENSG00000233589	0	3	0	2
ENSG00000117586	29	23	44	53
ENSG00000230946	0	0	0	0
ENSG00000226028	0	0	0	0
ENSG00000162728	4	1	0	0
ENSG00000229021	0	0	0	1
ENSG00000203825	0	0	0	0
ENSG00000184371	10262	10587	11728	11836
ENSG00000233449	0	0	0	0
ENSG00000242943	0	0	0	0
ENSG00000233203	1	1	1	0
ENSG00000232499	90	106	73	105
ENSG00000232265	0	0	0	0
ENSG00000163154	0	0	0	0
ENSG00000232995	24	33	25	30
ENSG00000238087	0	0	0	0
ENSG00000227777	2	0	0	0
ENSG00000177173	15	1	82	178
ENSG00000238022	0	0	0	0
ENSG00000231671	0	0	0	0
ENSG00000162729	689	734	964	909
ENSG00000143158	1076	1130	861	939
ENSG00000271092	10	11	12	16
ENSG00000276118	0	0	0	0
ENSG00000232148	0	0	0	0
ENSG00000278811	0	0	0	3
ENSG00000000460	660	634	957	1378
ENSG00000275075	0	0	0	0
ENSG00000135862	35118	37741	13201	14996
ENSG00000232952	35	17	24	26
ENSG00000285922	8	7	4	8
ENSG00000275801	0	0	0	0
ENSG00000143198	591	566	1253	957
ENSG00000143318	0	0	0	0
ENSG00000232212	0	0	0	0
ENSG00000143621	4765	4502	6803	7780
ENSG00000241042	0	0	0	0
ENSG00000260322	0	0	0	0
ENSG00000223495	0	0	0	0
ENSG00000143156	349	419	933	983
ENSG00000198771	0	2	378	833
ENSG00000225462	2	5	5	2
ENSG00000237756	0	0	0	0
ENSG00000213064	1495	1335	1536	1386
ENSG00000143179	2818	2648	2777	3016
ENSG00000271187	0	0	0	0
ENSG00000274562	0	0	0	0
ENSG00000143315	313	225	240	295
ENSG00000231175	0	0	0	0
ENSG00000143185	0	0	0	0
ENSG00000272931	7	5	0	0
ENSG00000143190	620	617	750	913
ENSG00000225475	0	0	0	0
ENSG00000232223	0	0	0	0
ENSG00000075945	1086	1020	884	745
ENSG00000235303	0	0	0	0
ENSG00000234810	2	1	1	0
ENSG00000224468	0	0	0	0
ENSG00000232551	0	0	0	0
ENSG00000092607	157	200	29	20
ENSG00000238270	0	0	0	0
ENSG00000285894	0	0	2	3
ENSG00000236025	0	0	0	0
ENSG00000230704	0	0	0	0
ENSG00000283255	0	0	0	0
ENSG00000227741	3	4	6	6
ENSG00000286754	0	0	0	0
ENSG00000232751	0	0	0	0
ENSG00000117091	0	0	0	0
ENSG00000235378	0	0	0	0
ENSG00000143171	0	0	0	0
ENSG00000275767	0	0	0	0
ENSG00000047410	8908	9226	8901	10474
ENSG00000231992	1	0	1	0
ENSG00000018625	2	2	0	2
ENSG00000171806	169	193	185	149
ENSG00000287919	0	0	4	0
ENSG00000233882	0	0	0	0
ENSG00000134216	0	0	0	0
ENSG00000230748	0	0	0	0
ENSG00000254154	0	0	1	3
ENSG00000162694	750	737	807	982
ENSG00000238108	0	0	0	0
ENSG00000118197	832	716	551	563
ENSG00000135842	7739	7026	3481	3443
ENSG00000229258	0	0	0	0
ENSG00000287472	0	0	0	0
ENSG00000241318	0	1	0	0
ENSG00000228238	0	1	0	0
ENSG00000232393	0	0	0	0
ENSG00000184155	0	0	0	0
ENSG00000058085	338	219	3716	3709
ENSG00000260088	2	0	0	1
ENSG00000116815	255	307	1246	1390
ENSG00000232917	0	0	0	0
ENSG00000233057	6	2	8	6
ENSG00000143167	0	0	0	0
ENSG00000143184	0	0	0	2
ENSG00000260976	0	0	0	0
ENSG00000235215	0	0	0	0
ENSG00000224691	0	0	0	0
ENSG00000286572	0	0	0	2
ENSG00000235101	0	0	0	0
ENSG00000228215	0	0	0	0
ENSG00000177807	0	0	0	0
ENSG00000233626	0	0	0	0
ENSG00000143228	1643	1622	1474	2232
ENSG00000235827	0	0	0	0
ENSG00000231615	0	0	1	0
ENSG00000231714	0	0	0	0
ENSG00000174514	11	5	0	0
ENSG00000143178	139	92	66	68
ENSG00000116833	70	57	20	13
ENSG00000227740	3	1	0	4
ENSG00000000457	173	228	389	359
ENSG00000143507	69	35	825	882
ENSG00000285638	0	0	0	0
ENSG00000284592	0	0	0	0
ENSG00000230987	0	0	0	0
ENSG00000232527	0	0	0	0
ENSG00000215833	0	0	0	0
ENSG00000228167	0	0	0	0
ENSG00000223344	0	0	0	0
ENSG00000150732	0	0	0	0
ENSG00000157064	840	849	740	809
ENSG00000288139	0	0	0	0
ENSG00000215808	0	0	101	87
ENSG00000059588	1754	1659	1120	1380
ENSG00000237379	0	0	1	1
ENSG00000232959	0	0	0	0
ENSG00000122224	0	0	0	0
ENSG00000162782	4	0	2	4
ENSG00000238051	0	0	0	0
ENSG00000233196	0	0	0	0
ENSG00000229220	0	0	0	0
ENSG00000143653	1467	1580	2237	2228
ENSG00000158711	1681	1663	1613	1643
ENSG00000227747	0	0	0	0
ENSG00000228081	0	0	0	0
ENSG00000228020	0	0	0	0
ENSG00000234975	139	130	32	18
ENSG00000162851	691	656	558	545
ENSG00000271427	5	1	3	4
ENSG00000143353	312	322	331	366
ENSG00000197965	4569	4549	5061	4801
ENSG00000143493	775	683	1517	1746
ENSG00000230777	0	0	0	0
ENSG00000179397	29	39	26	40
ENSG00000224540	0	0	0	0
ENSG00000117592	5272	4820	6663	6710
